Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487802355.550394, 1487802355.550394, -1.055786, -0.234558, -0.332153, -0.169893, -0.603622, +0.224674 
1487802355.562721, 1487802355.562721, -1.055786, -0.234558, -0.332153, +0.188993, -0.842880, +0.306919 
1487802355.568405, 1487802355.568405, -1.055786, -0.234558, -0.332153, +0.188993, -0.842880, +0.306919 
1487802355.572247, 1487802355.572247, -1.055786, -0.234558, -0.332153, +0.188993, -0.842880, +0.306919 
1487802355.575986, 1487802355.575986, -1.058838, -0.230713, -0.334167, +0.144133, -0.431656, +0.224674 
1487802355.579748, 1487802355.579748, -1.058838, -0.230713, -0.334167, +0.144133, -0.431656, +0.224674 
1487802355.583487, 1487802355.583487, -1.058838, -0.230713, -0.334167, +0.144133, -0.431656, +0.224674 
1487802355.587220, 1487802355.587220, -1.058838, -0.230713, -0.334167, +0.114225, -0.439133, +0.134953 
1487802355.590962, 1487802355.590962, -1.058838, -0.230713, -0.334167, +0.114225, -0.439133, +0.134953 
1487802355.594695, 1487802355.594695, -1.058594, -0.234131, -0.329956, +0.114225, -0.439133, +0.134953 
1487802355.598444, 1487802355.598444, -1.058594, -0.234131, -0.329956, -0.147463, -0.454086, +0.306919 
1487802355.602182, 1487802355.602182, -1.058594, -0.234131, -0.329956, -0.147463, -0.454086, +0.306919 
1487802355.605917, 1487802355.605917, -1.058594, -0.234131, -0.329956, -0.147463, -0.454086, +0.306919 
1487802355.609742, 1487802355.609742, -1.058594, -0.234131, -0.329956, -0.005404, -0.596146, +0.336826 
1487802355.613488, 1487802355.613488, -1.058594, -0.231567, -0.338440, -0.005404, -0.596146, +0.336826 
1487802355.617225, 1487802355.617225, -1.058716, -0.231567, -0.338440, -0.005404, -0.596146, +0.336826 
1487802355.621022, 1487802355.621022, -1.058716, -0.231567, -0.338440, -0.603548, -0.469040, +0.359257 
1487802355.624766, 1487802355.624766, -1.058716, -0.231567, -0.338440, -0.603548, -0.469040, +0.359257 
1487802355.628727, 1487802355.628727, -1.058716, -0.231567, -0.338440, -0.603548, -0.469040, +0.359257 
1487802355.632603, 1487802355.632603, -1.058716, -0.231567, -0.338440, -0.319429, -0.312027, +0.351780 
1487802355.636478, 1487802355.636478, -1.062195, -0.229980, -0.337097, -0.319429, -0.312027, +0.351780 
1487802355.640294, 1487802355.640294, -1.062195, -0.229980, -0.337097, -0.319429, -0.312027, +0.217197 
1487802355.644039, 1487802355.644039, -1.062195, -0.229980, -0.337097, +0.091795, -0.125107, +0.217197 
1487802355.647847, 1487802355.647847, -1.062195, -0.229980, -0.337097, +0.091795, -0.125107, +0.217197 
1487802355.651772, 1487802355.651772, -1.062195, -0.229980, -0.337097, -0.394197, -0.401749, +0.067661 
1487802355.655507, 1487802355.655507, -1.060791, -0.232300, -0.337585, -0.394197, -0.401749, +0.067661 
1487802355.659342, 1487802355.659342, -1.060791, -0.232300, -0.337585, -0.394197, -0.401749, +0.067661 
1487802355.664142, 1487802355.664142, -1.060791, -0.232300, -0.337585, -0.409151, -0.558762, +0.142429 
1487802355.667972, 1487802355.667972, -1.060791, -0.232300, -0.337585, -0.409151, -0.558762, +0.142429 
1487802355.671703, 1487802355.671703, -1.060791, -0.232300, -0.337585, -0.409151, -0.558762, +0.142429 
1487802355.675436, 1487802355.675436, -1.061768, -0.233215, -0.338867, -0.379244, -0.476517, +0.037754 
1487802355.679176, 1487802355.679176, -1.061768, -0.233215, -0.338867, -0.379244, -0.476517, +0.037754 
1487802355.682907, 1487802355.682907, -1.061768, -0.233215, -0.338867, -0.379244, -0.476517, +0.037754 
1487802355.686636, 1487802355.686636, -1.061768, -0.233215, -0.338867, -0.394197, -0.528854, -0.313656 
1487802355.690390, 1487802355.690390, -1.061768, -0.233215, -0.338867, -0.394197, -0.528854, -0.313656 
1487802355.694123, 1487802355.694123, -1.062622, -0.229614, -0.337524, -0.394197, -0.528854, -0.313656 
1487802355.697861, 1487802355.697861, -1.062622, -0.229614, -0.337524, +0.031981, -0.461563, -0.141689 
1487802355.701596, 1487802355.701596, -1.062622, -0.229614, -0.337524, +0.031981, -0.461563, -0.141689 
1487802355.705334, 1487802355.705334, -1.062622, -0.229614, -0.337524, +0.031981, -0.461563, -0.081875 
1487802355.709422, 1487802355.709422, -1.062622, -0.229614, -0.337524, -0.162416, -0.603622, -0.081875 
1487802355.713172, 1487802355.713172, -1.059387, -0.226685, -0.337830, -0.162416, -0.603622, -0.081875 
