Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487802250.074609, 1487802250.074609, -1.075317, -0.179749, -0.325195, +1.441469, +1.790214, +0.625757 
1487802250.078539, 1487802250.078539, -1.076355, -0.179321, -0.322998, +1.441469, +1.790214, +0.625757 
1487802250.082284, 1487802250.082284, -1.076355, -0.179321, -0.322998, +1.441469, +1.595817, +0.521081 
1487802250.086029, 1487802250.086029, -1.076355, -0.179321, -0.322998, +1.643343, +1.595817, +0.521081 
1487802250.089999, 1487802250.089999, -1.076355, -0.179321, -0.322998, +1.643343, +1.595817, +0.521081 
1487802250.093941, 1487802250.093941, -1.076355, -0.179321, -0.322998, +1.665774, +1.446281, +0.154718 
1487802250.097920, 1487802250.097920, -1.076904, -0.183350, -0.322876, +1.665774, +1.446281, +0.154718 
1487802250.101855, 1487802250.101855, -1.076904, -0.183350, -0.322876, +1.665774, +1.446281, +0.154718 
1487802250.105791, 1487802250.105791, -1.076904, -0.183350, -0.322876, +1.710634, +1.446281, +0.416406 
1487802250.109632, 1487802250.109632, -1.076904, -0.183350, -0.322876, +1.710634, +1.446281, +0.416406 
1487802250.113377, 1487802250.113377, -1.076904, -0.183350, -0.322876, +1.710634, +1.446281, +0.416406 
1487802250.117216, 1487802250.117216, -1.075989, -0.180237, -0.323303, +1.673250, +1.356559, +0.349115 
1487802250.121123, 1487802250.121123, -1.075989, -0.180237, -0.323303, +1.673250, +1.356559, +0.349115 
1487802250.125937, 1487802250.125937, -1.075989, -0.180237, -0.323303, +1.673250, +1.236930, +0.117334 
1487802250.129754, 1487802250.129754, -1.075989, -0.180237, -0.323303, +1.172304, +1.236930, +0.117334 
1487802250.133490, 1487802250.133490, -1.075989, -0.180237, -0.323303, +1.172304, +1.236930, +0.117334 
1487802250.137226, 1487802250.137226, -1.076721, -0.181030, -0.325806, +1.321841, +1.483665, +0.251916 
1487802250.140971, 1487802250.140971, -1.076721, -0.181030, -0.325806, +1.321841, +1.483665, +0.251916 
1487802250.144711, 1487802250.144711, -1.076721, -0.181030, -0.325806, +1.321841, +1.483665, +0.251916 
1487802250.148450, 1487802250.148450, -1.076721, -0.181030, -0.325806, +0.940523, +1.663108, +0.020135 
1487802250.152188, 1487802250.152188, -1.076721, -0.181030, -0.325806, +0.940523, +1.663108, +0.020135 
1487802250.155935, 1487802250.155935, -1.076721, -0.177429, -0.322815, +0.940523, +1.663108, +0.020135 
1487802250.159724, 1487802250.159724, -1.075256, -0.177429, -0.322815, +1.262026, +1.251884, -0.024725 
1487802250.163467, 1487802250.163467, -1.075256, -0.177429, -0.322815, +1.262026, +1.251884, -0.024725 
1487802250.167208, 1487802250.167208, -1.075256, -0.177429, -0.322815, +1.262026, +1.251884, -0.024725 
1487802250.171037, 1487802250.171037, -1.075256, -0.177429, -0.322815, +1.306887, +1.281791, -0.084540 
1487802250.174788, 1487802250.174788, -1.075256, -0.177429, -0.322815, +1.306887, +1.281791, -0.084540 
1487802250.178723, 1487802250.178723, -1.079102, -0.170776, -0.323547, +1.306887, +1.281791, -0.084540 
1487802250.182773, 1487802250.182773, -1.079102, -0.170776, -0.323547, +0.686312, +1.625724, -0.077063 
1487802250.186724, 1487802250.186724, -1.079102, -0.170776, -0.323547, +0.686312, +1.625724, -0.077063 
1487802250.190535, 1487802250.190535, -1.079102, -0.170776, -0.323547, +0.686312, +1.625724, -0.077063 
1487802250.194288, 1487802250.194288, -1.079102, -0.170776, -0.323547, +0.551729, +1.610771, -0.047156 
1487802250.198053, 1487802250.198053, -1.074463, -0.189636, -0.323547, +0.551729, +1.610771, -0.047156 
1487802250.201796, 1487802250.201796, -1.074463, -0.189636, -0.323547, +0.551729, +1.610771, +0.005182 
1487802250.205541, 1487802250.205541, -1.074463, -0.189636, -0.323547, +0.641451, +1.693015, +0.005182 
1487802250.209356, 1487802250.209356, -1.074463, -0.189636, -0.323547, +0.641451, +1.693015, +0.005182 
1487802250.213090, 1487802250.213090, -1.074463, -0.189636, -0.323547, +0.641451, +1.558433, -0.428473 
1487802250.216829, 1487802250.216829, -1.076721, -0.183838, -0.324036, +0.013399, +1.558433, -0.428473 
1487802250.220832, 1487802250.220832, -1.076721, -0.183838, -0.324036, +0.013399, +1.558433, -0.428473 
1487802250.225995, 1487802250.225995, -1.076721, -0.183838, -0.324036, -0.068846, +1.521049, -0.032202 
1487802250.229754, 1487802250.229754, -1.076721, -0.183838, -0.324036, -0.068846, +1.521049, -0.032202 
1487802250.233490, 1487802250.233490, -1.076721, -0.183838, -0.324036, -0.068846, +1.521049, -0.032202 
1487802250.237231, 1487802250.237231, -1.073425, -0.180908, -0.327637, -0.061369, +1.506095, +0.184625 
1487802250.240979, 1487802250.240979, -1.073425, -0.180908, -0.327637, -0.061369, +1.506095, +0.184625 
1487802250.244718, 1487802250.244718, -1.073425, -0.180908, -0.327637, -0.061369, +1.506095, +0.184625 
1487802250.248588, 1487802250.248588, -1.073425, -0.180908, -0.327637, +0.020876, +1.603294, +0.094903 
1487802250.252329, 1487802250.252329, -1.073425, -0.180908, -0.327637, +0.020876, +1.603294, +0.094903 
1487802250.256067, 1487802250.256067, -1.076172, -0.187378, -0.328857, +0.020876, +1.603294, +0.498651 
1487802250.259816, 1487802250.259816, -1.076172, -0.187378, -0.328857, -0.210905, +1.580863, +0.498651 
1487802250.263553, 1487802250.263553, -1.076172, -0.187378, -0.328857, -0.210905, +1.580863, +0.498651 
1487802250.267291, 1487802250.267291, -1.076172, -0.187378, -0.328857, -0.210905, +1.386466, +0.730432 
1487802250.271177, 1487802250.271177, -1.076172, -0.187378, -0.328857, -0.061369, +1.386466, +0.730432 
1487802250.274916, 1487802250.274916, -1.076172, -0.186096, -0.326599, -0.061369, +1.386466, +0.730432 
1487802250.278805, 1487802250.278805, -1.076782, -0.186096, -0.326599, +0.065737, +1.274314, +0.782770 
1487802250.282555, 1487802250.282555, -1.076782, -0.186096, -0.326599, +0.065737, +1.274314, +0.782770 
1487802250.286298, 1487802250.286298, -1.076782, -0.186096, -0.326599, +0.065737, +1.274314, +0.782770 
1487802250.290096, 1487802250.290096, -1.076782, -0.186096, -0.326599, +0.290041, +1.558433, +0.999597 
1487802250.293839, 1487802250.293839, -1.076782, -0.186096, -0.326599, +0.290041, +1.558433, +0.999597 
1487802250.297572, 1487802250.297572, -1.075134, -0.185120, -0.325500, +0.290041, +1.558433, +0.999597 
1487802250.301313, 1487802250.301313, -1.075134, -0.185120, -0.325500, -0.031461, +1.805168, +1.605218 
1487802250.305051, 1487802250.305051, -1.075134, -0.185120, -0.325500, -0.031461, +1.805168, +1.605218 
1487802250.308876, 1487802250.308876, -1.075134, -0.185120, -0.325500, -0.031461, +1.805168, +1.605218 
1487802250.312604, 1487802250.312604, -1.075134, -0.185120, -0.325500, -0.218382, +1.603294, +1.792139 
1487802250.316338, 1487802250.316338, -1.074829, -0.184631, -0.329773, -0.218382, +1.603294, +1.792139 
1487802250.320317, 1487802250.320317, -1.074829, -0.184631, -0.329773, -0.218382, +1.603294, +1.792139 
1487802250.324264, 1487802250.324264, -1.074829, -0.184631, -0.329773, -0.098753, +1.745353, +1.851953 
1487802250.328218, 1487802250.328218, -1.074829, -0.184631, -0.329773, -0.098753, +1.745353, +1.851953 
